"Handle","Last.Name","First.Name","State","Party","Seniority.Year","House"
"SenatorBaldwin","Baldwin","Tammy","WI","D",2013,"Senate"
"SenJohnBarrasso","Barrasso","John","WY","R",2007,"Senate"
"SenatorBennet","Bennet","Michael F.","CO","D",2009,"Senate"
"MarshaBlackburn","Blackburn","Marsha","TN","R",2019,"Senate"
"SenBlumenthal","Blumenthal","Richard","CT","D",2011,"Senate"
"RoyBlunt","Blunt","Roy","MO","R",2011,"Senate"
"CoryBooker","Booker","Cory A.","NJ","D",2013,"Senate"
"JohnBoozman","Boozman","John","AR","R",2011,"Senate"
"SenatorBraun","Braun","Mike","IN","R",2019,"Senate"
"SenSherrodBrown","Brown","Sherrod","OH","D",2007,"Senate"
"SenatorCantwell","Cantwell","Maria","WA","D",2001,"Senate"
"SenCapito","Capito","Shelley Moore","WV","R",2015,"Senate"
"SenatorCardin","Cardin","Benjamin L.","MD","D",2007,"Senate"
"SenatorCarper","Carper","Thomas R.","DE","D",2001,"Senate"
"SenBobCasey","Casey","Robert P. Jr.","PA","D",2007,"Senate"
"SenBillCassidy","Cassidy","Bill","LA","R",2015,"Senate"
"ChrisCoons","Coons","Christopher","DE","D",2010,"Senate"
"JohnCornyn","Cornyn","John","TX","R",2002,"Senate"
"SenCortezMasto","Cortez Masto","Catherine","NV","D",2017,"Senate"
"SenTomCotton","Cotton","Tom","AR","R",2015,"Senate"
"SenKevinCramer","Cramer","Kevin","ND","R",2019,"Senate"
"MikeCrapo","Crapo","Mike","ID","R",1999,"Senate"
"SenTedCruz","Cruz","Ted","TX","R",2013,"Senate"
"SteveDaines","Daines","Steve","MT","R",2015,"Senate"
"SenDuckworth","Duckworth","Tammy","IL","D",2017,"Senate"
"SenatorDurbin","Durbin","Richard J.","IL","D",1997,"Senate"
"SenJoniErnst","Ernst","Joni","IA","R",2015,"Senate"
"SenFeinstein","Feinstein","Dianne","CA","D",1992,"Senate"
"SenatorFischer","Fischer","Deb","NE","R",2013,"Senate"
"SenGillibrand","Gillibrand","Kirsten E.","NY","D",2009,"Senate"
"LindseyGrahamSC","Graham","Lindsey","SC","R",2003,"Senate"
"ChuckGrassley","Grassley","Chuck","IA","R",1981,"Senate"
"SenatorHagerty","Hagerty","Bill","TN","R",2021,"Senate"
"SenatorHassan","Hassan","Margaret Wood","NH","D",2017,"Senate"
"HawleyMO","Hawley","Josh","MO","R",2019,"Senate"
"MartinHeinrich","Heinrich","Martin","NM","D",2013,"Senate"
"SenatorHick","Hickenlooper","John W.","CO","D",2021,"Senate"
"maziehirono","Hirono","Mazie K.","HI","D",2013,"Senate"
"SenJohnHoeven","Hoeven","John","ND","R",2011,"Senate"
"SenHydeSmith","Hyde-Smith","Cindy","MS","R",2018,"Senate"
"JimInhofe","Inhofe","James M.","OK","R",1994,"Senate"
"SenRonJohnson","Johnson","Ron","WI","R",2011,"Senate"
"timkaine","Kaine","Tim","VA","D",2013,"Senate"
"SenMarkKelly","Kelly","Mark","AZ","D",2020,"Senate"
"SenJohnKennedy","Kennedy","John","LA","R",2017,"Senate"
"SenAngusKing","King","Angus S. Jr.","ME","I",2013,"Senate"
"SenAmyKlobuchar","Klobuchar","Amy","MN","D",2007,"Senate"
"SenatorLankford","Lankford","James","OK","R",2015,"Senate"
"SenatorLeahy","Leahy","Patrick J.","VT","D",1975,"Senate"
"SenMikeLee","Lee","Mike","UT","R",2011,"Senate"
"SenatorLujan","Luján","Ben Ray","NM","D",2021,"Senate"
"SenLummis","Lummis","Cynthia M.","WY","R",2021,"Senate"
"Sen_JoeManchin","Manchin","Joe, III","WV","D",2010,"Senate"
"SenMarkey","Markey","Edward J.","MA","D",2013,"Senate"
"SenatorMenendez","Menendez","Bob","NJ","D",2006,"Senate"
"SenJeffMerkley","Merkley","Jeff","OR","D",2009,"Senate"
"JerryMoran","Moran","Jerry","KS","R",2011,"Senate"
"lisamurkowski","Murkowski","Lisa","AK","R",2002,"Senate"
"ChrisMurphyCT","Murphy","Christopher","CT","D",2013,"Senate"
"PattyMurray","Murrary","Patty","WA","D",1993,"Senate"
"ossoff","Ossoff","Jon","GA","D",2021,"Senate"
"SenAlexPadilla","Padilla","Alex","CA","D",2021,"Senate"
"RandPaul","Paul","Rand","KY","R",2011,"Senate"
"SenGaryPeters","Peters","Gary C.","MI","D",2015,"Senate"
"senrobportman","Portman","Rob","OH","R",2011,"Senate"
"SenJackReed","Reed","Jack","RI","D",1997,"Senate"
"SenatorRisch","Risch","James E.","ID","R",2009,"Senate"
"SenatorRomney","Romney","Mitt","UT","R",2019,"Senate"
"SenJackyRosen","Rosen","Jacky","NV","D",2019,"Senate"
"marcorubio","Rubio","Marco","FL","R",2011,"Senate"
"SenSanders","Sanders","Bernard","VT","I",2007,"Senate"
"SenSchumer","Schumer","Charles E.","NY","D",1999,"Senate"
"SenRickScott","Scott","Rick","FL","R",2019,"Senate"
"SenatorTimScott","Scott","Tim","SC","R",2013,"Senate"
"SenatorShaheen","Shaheen","Jeanne","NH","D",2009,"Senate"
"SenatorSinema","Sinema","Kyrsten","AZ","D",2019,"Senate"
"SenTinaSmith","Smith","Tina","MN","D",2018,"Senate"
"SenStabenow","Stabenow","Debbie","MI","D",2001,"Senate"
"SenDanSullivan","Sullivan","Dan","AK","R",2015,"Senate"
"SenatorTester","Tester","Jon","MT","D",2007,"Senate"
"SenJohnThune","Thune","John","SD","R",2005,"Senate"
"SenThomTillis","Tillis","Thom","NC","R",2015,"Senate"
"SenToomey","Toomey","Patrick J.","PA","R",2011,"Senate"
"SenTuberville","Tuberville","Tommy","AL","R",2021,"Senate"
"ChrisVanHollen","Van Hollen","Chris","MD","D",2017,"Senate"
"MarkWarner","Warner","Mark R.","VA","D",2009,"Senate"
"SenatorWarnock","Warnock","Raphael G.","GA","D",2021,"Senate"
"SenWarren","Warren","Elizabeth","MA","D",2013,"Senate"
"SenWhitehouse","Whitehouse","Sheldon","RI","D",2007,"Senate"
"SenatorWicker","Wicker","Roger F.","MS","R",2007,"Senate"
"RonWyden","Wyden","Ron","OR","D",1996,"Senate"
"SenToddYoung","Young","Todd","IN","R",2017,"Senate"
"RepAdams","Adams","Alma","NC","D",2014,"Representatives "
"Robert_Aderholt","Aderholt","Robert","AL","R",1997,"Representatives "
"RepPeteAguilar","Aguilar","Pete","CA","D",2015,"Representatives "
"RepRickAllen","Allen","Rick","GA","R",2015,"Representatives "
"RepColinAllred","Allred","Colin","TX","D",2019,"Representatives "
"RepArmstrongND","Armstrong","Kelly","ND","R",2019,"Representatives "
"RepArrington","Arrington","Jodey","TX","R",2017,"Representatives "
"RepAuchincloss","Auchincloss","Jake","MA","D",2021,"Representatives "
"RepCindyAxne","Axne","Cindy","IA","D",2019,"Representatives "
"RepBrianBabin","Babin","Brian","TX","R",2015,"Representatives "
"RepDonBacon","Bacon","Don","NE","R",2017,"Representatives "
"RepJimBaird","Baird","Jim","IN","R",2019,"Representatives "
"RepBalderson","Balderson","Troy","OH","R",2018,"Representatives "
"RepJimBanks","Banks","Jim","IN","R",2017,"Representatives "
"RepAndyBarr","Barr","Andy","KY","R",2013,"Representatives "
"RepBarragan","Barragan","Nanette","CA","D",2017,"Representatives "
"RepKarenBass","Bass","Karen","CA","D",2011,"Representatives "
"RepBeatty","Beatty","Joyce","OH","D",2013,"Representatives "
"RepBera","Bera","Ami","CA","D",2013,"Representatives "
"RepDonBeyer","Beyer","Don","VA","D",2015,"Representatives "
"RepBice","Bice","Stephanie I.","OK","R",2021,"Representatives "
"RepAndyBiggsAZ","Biggs","Andy","AZ","R",2017,"Representatives "
"RepGusBilirakis","Bilirakis","Gus M.","FL","R",2007,"Representatives "
"SanfordBishop","Bishop Jr.","Sanford D.","GA","D",1993,"Representatives "
"RepDanBishop","Bishop","Dan","NC","R",2019,"Representatives "
"RepLBR","Blunt Rochester","Lisa","DE","D",2017,"Representatives "
"RepBoebert","Boebert","Lauren","CO","R",2021,"Representatives "
"RepBonamici","Bonamici","Suzanne","OR","D",2012,"Representatives "
"RepBost","Bost","Mike","IL","R",2015,"Representatives "
"RepBourdeaux","Bourdeaux","Carolyn","GA","D",2021,"Representatives "
"RepBowman","Bowman","Jamaal","NY","D",2021,"Representatives "
"CongBoyle","Boyle","Brendan","PA","D",2015,"Representatives "
"RepKevinBrady","Brady","Kevin","TX","R",1997,"Representatives "
"RepMoBrooks","Brooks","Mo","AL","R",2011,"Representatives "
"RepAnthonyBrown","Brown","Anthony","MD","D",2017,"Representatives "
"RepShontelBrown","Brown","Shontel","OH","D",2021,"Representatives "
"RepBrownley","Brownley","Julia","CA","D",2013,"Representatives "
"VernBuchanan","Buchanan","Vern","FL","R",2007,"Representatives "
"RepKenBuck","Buck","Ken","CO","R",2015,"Representatives "
"RepLarryBucshon","Bucshon","Larry","IN","R",2011,"Representatives "
"RepTedBudd","Budd","Ted","NC","R",2017,"Representatives "
"RepTimBurchett","Burchett","Tim","TN","R",2019,"Representatives "
"michaelcburgess","Burgess","Michael","TX","R",2003,"Representatives "
"RepCori","Bush","Cori","MO","D",2021,"Representatives "
"RepCheri","Bustos","Cheri","IL","D",2013,"Representatives "
"RepKatCammack","Cammack","Kat","FL","R",2021,"Representatives "
"RepCarbajal","Carbajal","Salud","CA","D",2017,"Representatives "
"RepCardenas","Cardenas","Tony","CA","D",2013,"Representatives "
"RepMikeCarey","Carey","Mike","OH","R",2021,"Representatives "
"RepJerryCarl","Carl","Jerry L.","AL","R",2021,"Representatives "
"RepAndreCarson","Carson","Andre","IN","D",2008,"Representatives "
"RepBuddyCarter","Carter","Buddy","GA","R",2015,"Representatives "
"JudgeCarter","Carter","John","TX","R",2003,"Representatives "
"RepTroyCarter","Carter","Troy","LA","D",2021,"Representatives "
"RepEdCase","Case","Ed","HI","D",2019,"Representatives "
"RepCasten","Casten","Sean","IL","D",2019,"Representatives "
"USRepKCastor","Castor","Kathy","FL","D",2007,"Representatives "
"JoaquinCastrotx","Castro","Joaquin","TX","D",2013,"Representatives "
"RepCawthorn","Cawthorn","Madison","NC","R",2021,"Representatives "
"RepSteveChabot","Chabot","Steve","OH","R",2011,"Representatives "
"RepLizCheney","Cheney","Liz","WY","R",2017,"Representatives "
"CongresswomanSC","Cherfilus-McCormick","Sheila","FL","D",2022,"Representatives "
"RepJudyChu","Chu","Judy","CA","D",2009,"Representatives "
"RepKClark","Clark","Katherine","MA","D",2013,"Representatives "
"RepYvetteClarke","Clarke","Yvette D.","NY","D",2007,"Representatives "
"repcleaver","Cleaver","Emanuel","MO","D",2005,"Representatives "
"RepBenCline","Cline","Ben","VA","R",2019,"Representatives "
"RepCloudTX","Cloud","Michael","TX","R",2018,"Representatives "
"WhipClyburn","Clyburn","James E.","SC","D",1993,"Representatives "
"Rep_Clyde","Clyde","Andrew S.","GA","R",2021,"Representatives "
"RepCohen","Cohen","Steve","TN","D",2007,"Representatives "
"TomColeOK04","Cole","Tom","OK","R",2003,"Representatives "
"RepJamesComer","Comer","James","KY","R",2016,"Representatives "
"GerryConnolly","Connolly","Gerald E. ""Gerry""","VA","D",2009,"Representatives "
"RepLouCorrea","Correa","J. Luis","CA","D",2017,"Representatives "
"RepJimCosta","Costa","Jim","CA","D",2005,"Representatives "
"RepJoeCourtney","Courtney","Joe","CT","D",2007,"Representatives "
"RepAngieCraig","Craig","Angie","MN","D",2019,"Representatives "
"RepCharlieCrist","Crist","Charlie","FL","D",2017,"Representatives "
"RepJasonCrow","Crow","Jason","CO","D",2019,"Representatives "
"RepJohnCurtis","Curtis","John R.","UT","R",2017,"Representatives "
"RepDavids","Davids","Sharice","KS","D",2019,"Representatives "
"WarrenDavidson","Davidson","Warren","OH","R",2016,"Representatives "
"RodneyDavis","Davis","Rodney","IL","R",2013,"Representatives "
"RepDean","Dean","Madeleine","PA","D",2019,"Representatives "
"RepPeterDeFazio","DeFazio","Peter","OR","D",1987,"Representatives "
"RepDianaDeGette","DeGette","Diana","CO","D",1997,"Representatives "
"rosadelauro","DeLauro","Rosa L.","CT","D",1991,"Representatives "
"RepDelBene","DelBene","Suzan","WA","D",2012,"Representatives "
"repdelgado","Delgado","Antonio","NY","D",2019,"Representatives "
"RepValDemings","Demings","Val","FL","D",2017,"Representatives "
"RepDeSaulnier","DeSaulnier","Mark","CA","D",2015,"Representatives "
"RepTedDeutch","Deutch","Ted","FL","D",2010,"Representatives "
"MarioDB","Diaz-Balart","Mario","FL","R",2003,"Representatives "
"RepDebDingell","Dingell","Debbie","MI","D",2015,"Representatives "
"RepLloydDoggett","Doggett","Lloyd","TX","D",1995,"Representatives "
"RepDonaldsPress","Donalds","Byron","FL","R",2021,"Representatives "
"USRepMikeDoyle","Doyle","Michael","PA","D",1995,"Representatives "
"RepJeffDuncan","Duncan","Jeff","SC","R",2011,"Representatives "
"DrNealDunnFL2","Dunn","Neal","FL","R",2017,"Representatives "
"RepTomEmmer","Emmer","Tom","MN","R",2015,"Representatives "
"RepEscobar","Escobar","Veronica","TX","D",2019,"Representatives "
